n_receipts,n_anomalies,percent
19,1,0.05263157894736842
12,2,0.16666666666666666
3,0,0.0
27,1,0.037037037037037035
2,0,0.0
36,0,0.0
2,0,0.0
1,0,0.0
6,0,0.0
2,0,0.0
8,0,0.0
5,1,0.2
14,0,0.0
1,0,0.0
30,0,0.0
22,0,0.0
29,8,0.27586206896551724
12,0,0.0
1,0,0.0
8,0,0.0
34,5,0.14705882352941177
10,1,0.1
1,1,1.0
16,2,0.125
1,0,0.0
7,5,0.7142857142857143
90,1,0.011111111111111112
4,1,0.25
26,5,0.19230769230769232
8,0,0.0
11,0,0.0
4,1,0.25
27,2,0.07407407407407407
13,4,0.3076923076923077
8,4,0.5
194,5,0.02577319587628866
21,1,0.047619047619047616
4,0,0.0
2,0,0.0
21,0,0.0
18,0,0.0
3,3,1.0
3,0,0.0
6,1,0.16666666666666666
18,0,0.0
5,1,0.2
1,0,0.0
1,1,1.0
9,0,0.0
8,8,1.0
14,2,0.14285714285714285
2,0,0.0
4,0,0.0
52,21,0.40384615384615385
16,0,0.0
38,0,0.0
2,2,1.0
1,1,1.0
5,4,0.8
17,10,0.5882352941176471
47,2,0.0425531914893617
5,1,0.2
21,0,0.0
23,13,0.5652173913043478
23,11,0.4782608695652174
3,1,0.3333333333333333
2,0,0.0
1,1,1.0
11,1,0.09090909090909091
12,10,0.8333333333333334
2,0,0.0
7,0,0.0
8,0,0.0
2,0,0.0
18,0,0.0
1,0,0.0
9,1,0.1111111111111111
2,1,0.5
2,0,0.0
1,0,0.0
20,17,0.85
17,0,0.0
1,0,0.0
4,1,0.25
18,1,0.05555555555555555
1,1,1.0
3,0,0.0
3,0,0.0
1,0,0.0
1,0,0.0
1,1,1.0
2,1,0.5
7,0,0.0
2,1,0.5
6,0,0.0
22,2,0.09090909090909091
36,3,0.08333333333333333
41,6,0.14634146341463414
17,4,0.23529411764705882
5,0,0.0
2,0,0.0
16,0,0.0
21,4,0.19047619047619047
44,2,0.045454545454545456
1,0,0.0
3,0,0.0
18,0,0.0
8,0,0.0
27,0,0.0
21,0,0.0
12,0,0.0
6,0,0.0
2,0,0.0
30,27,0.9
11,0,0.0
6,0,0.0
23,0,0.0
2,0,0.0
1,0,0.0
11,0,0.0
6,0,0.0
11,11,1.0
27,13,0.48148148148148145
2,0,0.0
7,2,0.2857142857142857
21,9,0.42857142857142855
5,0,0.0
23,0,0.0
12,2,0.16666666666666666
9,3,0.3333333333333333
19,1,0.05263157894736842
10,1,0.1
10,4,0.4
6,0,0.0
117,60,0.5128205128205128
6,0,0.0
18,3,0.16666666666666666
37,27,0.7297297297297297
9,0,0.0
6,0,0.0
21,4,0.19047619047619047
8,2,0.25
3,0,0.0
6,1,0.16666666666666666
3,0,0.0
4,3,0.75
3,0,0.0
8,0,0.0
11,0,0.0
13,13,1.0
1,0,0.0
13,0,0.0
20,7,0.35
5,1,0.2
2,0,0.0
24,0,0.0
17,0,0.0
5,0,0.0
11,0,0.0
21,9,0.42857142857142855
7,0,0.0
23,0,0.0
3,0,0.0
2,0,0.0
5,0,0.0
9,0,0.0
1,0,0.0
24,19,0.7916666666666666
13,2,0.15384615384615385
7,5,0.7142857142857143
5,0,0.0
9,4,0.4444444444444444
22,0,0.0
1,0,0.0
12,1,0.08333333333333333
25,3,0.12
11,0,0.0
24,0,0.0
7,0,0.0
6,3,0.5
18,5,0.2777777777777778
19,0,0.0
2,0,0.0
16,11,0.6875
15,0,0.0
5,3,0.6
23,1,0.043478260869565216
9,1,0.1111111111111111
6,0,0.0
3,3,1.0
1,0,0.0
7,0,0.0
1,0,0.0
4,0,0.0
3,0,0.0
23,0,0.0
26,2,0.07692307692307693
2,0,0.0
1,0,0.0
4,1,0.25
6,0,0.0
7,7,1.0
26,0,0.0
19,0,0.0
7,0,0.0
2,1,0.5
3,0,0.0
7,7,1.0
4,0,0.0
9,0,0.0
4,0,0.0
3,0,0.0
3,2,0.6666666666666666
9,2,0.2222222222222222
6,0,0.0
15,1,0.06666666666666667
4,1,0.25
4,1,0.25
2,0,0.0
26,1,0.038461538461538464
6,0,0.0
1,0,0.0
3,0,0.0
1,0,0.0
6,0,0.0
21,0,0.0
1,1,1.0
26,16,0.6153846153846154
12,0,0.0
3,2,0.6666666666666666
11,1,0.09090909090909091
17,0,0.0
4,0,0.0
1,0,0.0
17,1,0.058823529411764705
2,0,0.0
1,1,1.0
5,0,0.0
15,0,0.0
21,0,0.0
2,2,1.0
13,1,0.07692307692307693
20,5,0.25
9,0,0.0
16,5,0.3125
28,1,0.03571428571428571
7,7,1.0
11,0,0.0
4,0,0.0
5,1,0.2
25,3,0.12
21,6,0.2857142857142857
5,0,0.0
9,0,0.0
2,2,1.0
6,0,0.0
27,0,0.0
22,0,0.0
9,0,0.0
5,0,0.0
24,6,0.25
7,2,0.2857142857142857
1,0,0.0
17,0,0.0
4,0,0.0
3,0,0.0
16,0,0.0
16,0,0.0
24,0,0.0
2,0,0.0
11,0,0.0
7,0,0.0
19,8,0.42105263157894735
310,130,0.41935483870967744
22,0,0.0
1,0,0.0
11,1,0.09090909090909091
29,19,0.6551724137931034
19,10,0.5263157894736842
2,1,0.5
137,0,0.0
2,0,0.0
3,2,0.6666666666666666
24,11,0.4583333333333333
2,2,1.0
5,5,1.0
25,0,0.0
9,0,0.0
19,3,0.15789473684210525
9,0,0.0
8,3,0.375
13,2,0.15384615384615385
12,0,0.0
1,0,0.0
2,0,0.0
2,1,0.5
5,0,0.0
24,0,0.0
1,0,0.0
4,0,0.0
9,0,0.0
22,15,0.6818181818181818
36,2,0.05555555555555555
5,1,0.2
20,3,0.15
1,1,1.0
4,0,0.0
4,0,0.0
24,0,0.0
3,0,0.0
16,2,0.125
1,0,0.0
5,0,0.0
11,3,0.2727272727272727
3,0,0.0
