,n_receipts,n_anomalies,percent
0,61,0,0.0
1,43,1,0.023255813953488372
2,33,0,0.0
3,4,0,0.0
4,6,0,0.0
5,9,0,0.0
6,5,0,0.0
7,115,2,0.017391304347826087
8,5,0,0.0
9,11,3,0.2727272727272727
10,2,1,0.5
11,15,1,0.06666666666666667
12,76,2,0.02631578947368421
13,28,0,0.0
14,92,0,0.0
15,116,1,0.008620689655172414
16,4,0,0.0
17,51,0,0.0
18,38,1,0.02631578947368421
19,87,7,0.08045977011494253
20,41,0,0.0
21,18,0,0.0
22,32,0,0.0
23,20,1,0.05
24,83,0,0.0
25,65,1,0.015384615384615385
26,44,0,0.0
27,26,1,0.038461538461538464
28,22,0,0.0
29,21,0,0.0
30,1,0,0.0
31,51,0,0.0
32,80,0,0.0
33,66,0,0.0
34,45,6,0.13333333333333333
35,24,0,0.0
36,25,0,0.0
37,52,18,0.34615384615384615
38,50,3,0.06
39,94,2,0.02127659574468085
40,6,0,0.0
41,10,2,0.2
42,41,0,0.0
43,57,2,0.03508771929824561
44,3,0,0.0
45,49,1,0.02040816326530612
46,2,0,0.0
47,14,0,0.0
48,76,2,0.02631578947368421
49,8,0,0.0
50,44,1,0.022727272727272728
51,23,0,0.0
52,12,0,0.0
53,70,2,0.02857142857142857
54,40,0,0.0
55,12,5,0.4166666666666667
56,10,0,0.0
57,199,3,0.01507537688442211
58,27,1,0.037037037037037035
59,40,0,0.0
60,19,0,0.0
61,8,0,0.0
62,4,0,0.0
63,22,0,0.0
64,31,0,0.0
65,29,0,0.0
66,13,0,0.0
67,16,0,0.0
68,41,0,0.0
69,42,0,0.0
70,21,0,0.0
71,16,3,0.1875
72,2,0,0.0
73,53,0,0.0
74,1,0,0.0
75,5,0,0.0
76,15,0,0.0
77,3,0,0.0
78,85,0,0.0
79,120,1,0.008333333333333333
80,48,9,0.1875
81,14,0,0.0
82,32,0,0.0
83,59,0,0.0
84,6,0,0.0
85,8,1,0.125
86,54,3,0.05555555555555555
87,15,0,0.0
88,69,0,0.0
89,85,0,0.0
90,40,0,0.0
91,28,6,0.21428571428571427
92,40,2,0.05
93,60,0,0.0
94,9,0,0.0
95,23,0,0.0
96,24,0,0.0
97,23,0,0.0
98,27,0,0.0
99,15,0,0.0
100,52,2,0.038461538461538464
101,15,2,0.13333333333333333
102,6,0,0.0
103,57,8,0.14035087719298245
104,22,0,0.0
105,9,0,0.0
106,50,0,0.0
107,14,0,0.0
108,49,0,0.0
109,78,0,0.0
110,1,0,0.0
111,8,0,0.0
112,58,3,0.05172413793103448
113,23,0,0.0
114,16,0,0.0
115,36,3,0.08333333333333333
116,17,0,0.0
117,46,0,0.0
118,6,0,0.0
119,31,1,0.03225806451612903
120,2,2,1.0
121,9,0,0.0
122,4,0,0.0
123,2,0,0.0
124,30,0,0.0
125,1,0,0.0
126,4,0,0.0
127,16,4,0.25
128,3,0,0.0
129,71,0,0.0
130,21,0,0.0
131,57,4,0.07017543859649122
132,4,1,0.25
133,45,0,0.0
134,31,0,0.0
135,52,2,0.038461538461538464
136,14,0,0.0
137,15,0,0.0
138,4,0,0.0
139,4,0,0.0
